binning_data,update_time,create_time,count,speed,distance,calorie
c0e35919-8e38-47cb-ab88-614d9b752de4.binning_data.json,08:13.3,4/2/2022,27,1.2205365,20.1,0.98
1dd1a48b-2557-4fb6-aa4e-c2af93c61372.binning_data.json,35:41.8,4/1/2022,74,1.249661,57.04,2.92
7ebc1297-5099-4625-b6ef-d9dce514788f.binning_data.json,15:01.4,4/1/2022,74,1.249661,57.04,2.92
f54fd18b-9be0-4b4a-b9f5-e776edc7f8d2.binning_data.json,55:02.1,4/2/2022,27,1.2205365,20.1,0.98
2f5981b7-0fec-439d-87fb-fcbe2f342d62.binning_data.json,48:11.8,4/3/2022,4429,1.2998781,3340.52,169.79
3e3ec965-5245-4c03-b996-0891951e3cb2.binning_data.json,12:43.6,4/3/2022,4429,1.2998781,3340.52,169.79
8b04824a-2e87-4aae-8e42-aede25f0a14b.binning_data.json,13:42.1,4/5/2022,2021,1.4875488,1563.42,72.68
c95b7da8-319e-42e1-8422-779cf4c8d342.binning_data.json,53:30.6,4/4/2022,3209,1.3437818,2431.65,124.37
6ff5df7f-7cba-4dff-a8d0-72953ea8eb32.binning_data.json,15:02.2,4/4/2022,3209,1.3437818,2431.65,124.37
9be79021-c391-4327-af2f-440db8ff5a6a.binning_data.json,48:28.0,4/6/2022,2212,1.430992,1721.17,83.89
a086a8e8-bf85-4df1-90c7-f31182d33f21.binning_data.json,55:46.3,4/6/2022,2212,1.430992,1721.17,83.89
1a4bd7b4-da12-49bf-b3e7-275d6b74aa3a.binning_data.json,05:16.7,4/8/2022,8304,1.4309417,6412.46,300.94
ebacb591-f5fa-4f34-b025-f0ad52580375.binning_data.json,27:53.8,4/7/2022,3717,1.2443526,2773.57,142.77
cd2fb7ff-1a34-4d62-b3b2-472781fd7932.binning_data.json,28:31.7,4/5/2022,2021,1.4875488,1563.42,72.68
b308d9b7-813c-4d67-9c9d-d75351f477a1.binning_data.json,11:23.0,4/9/2022,248,1.264347,184.76,9.1
1aace58e-b96c-47a7-ad58-63a858626d9a.binning_data.json,20:19.6,4/7/2022,3717,1.2443526,2773.57,142.77
8dd02acb-88ed-41ff-aed0-987904a9afdc.binning_data.json,15:02.2,4/11/2022,196,1.2528223,146.38,7.3
fe397598-bb2d-457c-a442-3ee4ecfc475a.binning_data.json,44:54.1,4/8/2022,8304,1.4309417,6412.46,300.94
63973d29-2a1a-48dc-a014-66f8dff1b6a0.binning_data.json,34:20.0,4/13/2022,735,1.3998609,572.02,27.74
13ab57d6-2301-4e79-b72e-61b1f363d463.binning_data.json,15:01.3,4/9/2022,248,1.264347,184.76,9.1
3541d8ec-7142-4542-9218-e9da2691974a.binning_data.json,15:01.6,4/15/2022,88,1.1259406,64.83,3.24
e0b74f02-21a2-4c45-897c-79c7732d11c3.binning_data.json,09:04.8,4/11/2022,196,1.2528223,146.38,7.3
10071b9d-bf7c-41d3-b109-15525639cd90.binning_data.json,54:13.0,4/10/2022,3025,1.4900565,2382.39,117.45
3e51d21e-ff68-4fbe-8ccb-c08dbf07f8cf.binning_data.json,33:54.7,4/16/2022,987,1.3871037,751.07996,35.789997
77b6436b-7d50-4f62-81cb-bfdcf833cdb2.binning_data.json,16:43.8,4/18/2022,4530,1.3055869,3444.2,175.9
94db6c8e-d0cf-48ca-8493-827621d6994e.binning_data.json,54:55.7,4/15/2022,88,1.1259406,64.83,3.24
125b2932-fa16-49d1-99f6-8462d96527e3.binning_data.json,15:01.6,4/10/2022,3025,1.4900565,2382.39,117.45
2ec5e071-eba5-4647-8291-faf576b207b6.binning_data.json,58:22.7,4/14/2022,135,1.3740568,101.869995,4.75
c018e24a-2597-43cf-8bc0-63b25eff61f1.binning_data.json,42:28.7,4/18/2022,1770,1.5206404,1400.59,67.19
72153b9c-63cb-4df7-a587-9f97014f161d.binning_data.json,05:44.5,4/21/2022,3045,1.3338321,2327.48,115.56
140d64b2-4ff5-4e80-bcc8-d9f3b124d2b3.binning_data.json,47:11.7,4/13/2022,735,1.3998609,572.02,27.74
e10a47f4-19d0-43d2-bbe1-0e7dfa44c2fe.binning_data.json,15:01.4,4/14/2022,135,1.3740568,101.869995,4.75
cddf88d8-4fe6-4320-87b8-a6d8d7b8dd55.binning_data.json,13:14.7,4/17/2022,3527,1.3279531,2670.04,138.34999
3cee5dd4-55f1-49c2-b4cb-07c8a1b7657b.binning_data.json,38:12.5,4/22/2022,547,1.3024534,410.23,19.96
72142989-02df-4148-82c4-75be3401a4c4.binning_data.json,51:33.0,4/18/2022,4530,1.3055869,3444.2,175.9
2a64e5dd-ae7a-4525-a941-c62a6d632876.binning_data.json,15:02.3,4/24/2022,3205,1.3384075,2434.89,122.18
ffa8671b-e16d-4aa2-8359-0694f2b570fb.binning_data.json,15:01.8,4/16/2022,987,1.3871037,751.07996,35.789997
828e3b7b-d511-4fd2-a1e2-e6bc5b71cf92.binning_data.json,15:01.1,4/17/2022,3527,1.3279531,2670.04,138.34999
d559b6cf-3dc8-4bce-b18f-62e3cd11e14e.binning_data.json,44:03.0,4/19/2022,3304,1.5437994,2624.06,119.729996
bc772564-c93c-476e-93ec-64086633414a.binning_data.json,33:40.1,4/21/2022,3045,1.3338321,2327.48,115.56
99f7f895-6ecf-4d12-aa85-c0be45f1930d.binning_data.json,47:00.2,4/27/2022,232,1.2321376,171.85,8.58
e80afef5-7a65-45ca-9e05-6cfbc1e6ff2d.binning_data.json,55:41.1,4/19/2022,1770,1.5206404,1400.59,67.19
6a218307-7465-4da8-b64a-5dfe1b517c17.binning_data.json,15:01.2,4/20/2022,3304,1.5437994,2624.06,119.729996
